Treatment	Biological	Mating	Time	concatenated	Preparation	RNA sample name	RNA con (ng/ul)	vol for 1 ug	vol of dw	index in reality	Index	Lane
E	1	a	0	E1a0	1	S03	1217	0.82	49.18	i2	1	1
G	1	alpha	0	G1alpha0	1	S15	929	1.08	48.92	i11	18	0
G	1	alpha	24	G1alpha24	1	S47	318	3.14	46.86	i9	16	0
E	1	alpha	36	E1alpha36	1	S55	330	3.03	46.97	i16	10	1
G	1	a	48	G1a48	1	S75	406	2.46	47.54	i21	20	1
E	1	alpha	60	E1alpha60	1	S87	182	5.49	44.51	i19	12	1
G	2	a	12	G2a12	1	T27	736	1.36	48.64	i18	11	1
G	2	alpha	12	G2alpha12	1	T31	570	1.75	48.25	i7	5	0
E	2	a	36	E2a36	1	T51	458	2.18	47.82	i9	16	1
E	2	alpha	36	E2alpha36	1	T55	426	2.35	47.65	i23	22	0
E	2	a	48	E2a48	1	T67	410	2.44	47.56	i10	17	0
G	2	a	48	G2a48	1	T75	859	1.16	48.84	i14	8	0
G	1	a	12	G1a12	2	S27	773	1.29	48.71	i25	23	0
G	1	alpha	12	G1alpha12	2	S31	531	1.88	48.12	i10	17	1
G	1	a	24	G1a24	2	S43	595	1.68	48.32	i23	22	1
E	1	a	36	E1a36	2	S51	535	1.87	48.13	i6	4	0
G	1	alpha	36	G1alpha36	2	S63	305	3.28	46.72	i8	15	1
E	1	a	60	E1a60	2	S83	256	3.91	46.09	i12	6	0
E	2	a	0	E2a0	2	T03	1239	0.81	49.19	i1	13	0
E	2	a	24	E2a24	2	T35	565	1.77	48.23	i8	15	0
E	2	alpha	24	E2alpha24	2	T39	333	3.00	47.00	i22	21	1
G	2	alpha	36	G2alpha36	2	T63	331	3.02	46.98	i5	3	0
E	2	alpha	48	E2alpha48	2	T71	347	2.88	47.12	i25	23	1
G	2	alpha	48	G2alpha48	2	T79	342	2.92	47.08	i4	2	1
E	1	alpha	0	E1alpha0	3	S07	885	1.13	48.87	i13	7	0
E	1	a	12	E1a12	3	S19	945	1.06	48.94	i4	2	0
E	1	a	24	E1a24	3	S35	536	1.87	48.13	i5	3	1
E	1	alpha	48	E1alpha48	3	S71	259	3.86	46.14	i18	11	0
G	1	a	60	G1a60	3	S91	680	1.47	48.53	i20	19	0
G	1	alpha	60	G1alpha60	3	S95	218	4.59	45.41	i1	13	1
E	2	alpha	0	E2alpha0	3	T07	1489	0.67	49.33	i20	19	1
E	2	alpha	12	E2alpha12	3	T23	913	1.10	48.90	i21	20	0
G	2	a	24	G2a24	3	T43	712	1.40	48.60	i16	10	0
G	2	alpha	24	G2alpha24	3	T47	318	3.14	46.86	i6	4	1
G	2	a	36	G2a36	3	T59	624	1.60	48.40	i15	9	1
G	2	a	60	G2a60	3	T91	633	1.58	48.42	i13	7	1
G	1	a	0	G1a0	4	S11	972	1.03	48.97	i27	24	1
E	1	alpha	12	E1alpha12	4	S23	587	1.70	48.30	i14	8	1
E	1	alpha	24	E1alpha24	4	S39	415	2.41	47.59	i15	9	0
G	1	a	36	G1a36	4	S59	637	1.57	48.43	i22	21	0
E	1	a	48	E1a48	4	S67	350	2.86	47.14	i7	5	1
G	1	alpha	48	G1alpha48	4	S79	254	3.94	46.06	i3	14	0
G	2	a	0	G2a0	4	T11	1139	0.88	49.12	i19	12	0
G	2	alpha	0	G2alpha0	4	T15	1339	0.75	49.25	i12	6	1
E	2	a	12	E2a12	4	T19	853	1.17	48.83	i3	14	1
E	2	a	60	E2a60	4	T83	377	2.65	47.35	i11	18	1
E	2	alpha	60	E2alpha60	4	T87	266	3.76	46.24	i27	24	0
G	2	alpha	60	G2alpha60	4	T95	441	2.27	47.73	i2	1	0
